file,r_i_glide_gscore,r_i_docking_score
6216-0064,-9.22608990309488,-9.22608990309488
G642-5993,-9.22580805538423,-9.22580805538423
D437-0203,-9.22465129566303,-9.22465129566303
D600-0648,-9.22400563344201,-9.22400563344201
3333-4463,-9.24685523067144,-9.21965523067144
C648-0404,-9.21942409100656,-9.21942409100656
6055-0120,-9.21754124577081,-9.21754124577081
5803-0010,-9.21686911174122,-9.21686911174122
Y041-4214,-9.59432949489782,-9.21532949489782
C593-0801,-9.25410895339967,-9.21300895339967
D494-0620,-9.21229881769603,-9.21209881769603
1151-0152,-9.21174004537293,-9.21174004537293
J108-0406,-9.21093266583939,-9.21093266583939
S664-1738,-9.21136762198327,-9.21076762198327
V006-3901,-9.20670635552947,-9.20640635552948
M628-0333,-9.47488317541827,-9.20508317541827
4205-0089,-9.20022648369421,-9.20022648369421
D437-0082,-9.1991228953407,-9.1991228953407
M976-0167,-9.20734434803502,-9.19874434803502
5655-0305,-9.43718722600998,-9.19728722600998
F431-0232,-9.19613390597621,-9.19613390597621
4138-0138,-9.19520083271163,-9.19520083271163
G642-6367,-9.1949980721854,-9.1949980721854
C301-6216,-9.19295013450562,-9.19295013450562
F543-0572,-9.1896075037833,-9.1896075037833
Y020-6915,-9.37729833241569,-9.1894983324157
D437-0160,-9.1885519575173,-9.1885519575173
F389-0657,-9.18851083675751,-9.18851083675751
F471-0737,-9.18854148210778,-9.18794148210778
V025-4155,-9.19308928238797,-9.18768928238797
C736-0188,-9.18758367241408,-9.18738367241408
V015-3325,-9.18695822629525,-9.18695822629525
0324-0020,-9.18631716360308,-9.18631716360308
V004-4618,-9.18397164578182,-9.18397164578182
5137-3638,-9.18364389965049,-9.18364389965049
D520-0594,-9.1835219357727,-9.1835219357727
C597-0353,-9.18231604048465,-9.18231604048465
D090-0007,-9.18210063253401,-9.18210063253401
E139-0282,-9.18147406647368,-9.18147406647368
P097-1995,-9.18144779856382,-9.18144779856382
S411-0001,-9.18126251955985,-9.18126251955985
S411-0001,-9.18049356367196,-9.18049356367196
S039-3693,-9.36342514938732,-9.18012514938732
Y020-7094,-9.17676208626304,-9.17516208626304
5537-0019,-9.17307799407965,-9.17307799407965
C463-0334,-9.1711540980019,-9.1711540980019
6055-0121,-9.17111759151032,-9.17111759151032
Y070-5030,-9.3713601370281,-9.1676601370281
G721-0019,-9.16742613443423,-9.16742613443423
Y021-0683,-9.16564760838347,-9.16564760838347
4476-0064,-9.30683090046937,-9.16013090046937
6401-0091,-9.15937742288541,-9.15937742288541
5132-1062,-9.16093970464059,-9.15933970464059
6401-0003,-9.15906486989596,-9.15906486989596
C463-0299,-9.15914200329059,-9.15784200329059
5537-0041,-9.15768977641257,-9.15768977641257
Y070-3958,-9.15926985659417,-9.15646985659417
C444-1634,-9.15342809018116,-9.15342809018116
C276-0505,-9.15396262582664,-9.14956262582664
G642-6089,-9.14797510634327,-9.14797510634327
